url,title
https://english.elpais.com/people/2026-06-05/actor-james-handy-killed-in-his-los-angeles-home-by-his-girlfriends-son.html,"Actor James Handy, killed in his Los Angeles home by his girlfriend’s son"
https://english.elpais.com/sports/2026-06-04/oke-gottlich-the-man-shaking-up-german-soccer-over-trump-we-discussed-at-length-our-red-lines-for-boycotting-the-world-cup.html,"Oke Göttlich, the man shaking up German soccer over Trump: ‘We discussed at length our red lines for boycotting the World Cup’"
https://english.elpais.com/international/2026-06-02/de-la-espriellas-far-right-banners.html,Colombian elections: Abelardo De la Espriella’s far-right banners
https://english.elpais.com/international/2026-06-02/ndaba-mandela-nelson-mandelas-grandson-as-a-child-i-wanted-to-live-in-a-prison-like-my-grandfather.html,González Iñárritu: ‘I know US culture. They don’t know a damn thing about Mexican culture’
https://english.elpais.com/international/2026-06-02/cheng-liwun-leader-of-the-opposition-in-taiwan-we-do-not-want-to-become-the-next-ukraine.html,"Cheng Li‑wun, leader of the opposition in Taiwan: ‘We do not want to become the next Ukraine’ "
https://english.elpais.com/culture/2026-06-01/caetano-veloso-right-now-concern-predominates-within-me-brazil-seems-unable-to-save-itself.html,Caetano Veloso: ‘Right now concern predominates within me; Brazil seems unable to save itself’
https://los40.us/,Listen now LOS40 USA
https://english.elpais.com/economy-and-business/2021-11-15/el-pais-offers-free-spanish-lessons-with-gymglish.html,EL PAÍS offers free Spanish lessons with Gymglish
https://english.elpais.com/usa/2026-05-27/the-battle-to-redraw-electoral-districts-ahead-of-the-midterms-where-changes-have-been-confirmed-and-where-they-are-awaiting-approval.html,The battle to redraw electoral districts ahead of the midterms: Where changes have been confirmed and where they are awaiting approval 
https://english.elpais.com/usa/2026-05-27/ice-expands-use-of-iris-scanners-in-its-operations-through-a-multi-million-dollar-contract.html,ICE expands use of iris scanners in its operations through a multi-million-dollar contract
https://english.elpais.com/international/2026-05-26/irans-frozen-assets-the-last-major-stumbling-block-in-negotiations-with-washington.html,"Iran’s frozen assets, the last major stumbling block in negotiations with Washington"
https://english.elpais.com/international/2026-05-27/trump-receives-flavio-bolsonaro-in-the-oval-office-three-weeks-after-lula.html,Trump receives Flávio Bolsonaro in the Oval Office three weeks after Lula
https://english.elpais.com/international/2026-05-28/university-demands-against-argentinas-milei-escalate-with-student-protests-and-faculty-strikes.html,University demands against Argentina’s Milei escalate with student protests and faculty strikes 
https://english.elpais.com/international/2026-05-27/sheinbaums-approval-ratings-drop-seven-points-after-sinaloa-and-chihuahua-crises.html,Sheinbaum’s approval ratings drop seven points after Sinaloa and Chihuahua crises
https://english.elpais.com/international/2026-02-23/milei-pushes-through-a-labor-reform-that-argentina-resisted-under-previous-rightwing-governments.html,Milei pushes through a labor reform that Argentina resisted under previous right‑wing governments  
https://english.elpais.com/economy-and-business/2026-05-11/draculas-castle-is-bought-by-us-entrepreneur-in-charge-of-elvis-presleys-estate.html,An economic paradox: When savings are both a good and a bad idea
https://english.elpais.com/culture/2026-05-22/what-would-happen-if-a-tradwife-woke-up-in-1855.html,What would happen if a tradwife woke up in 1855?  
https://english.elpais.com/culture/2026-05-19/lena-dunham-the-millennial-icon-who-changed-the-way-the-body-and-sex-are-portrayed.html,"Lena Dunham, the millennial icon who changed the way the body and sex are portrayed"
https://english.elpais.com/technology/2026-05-19/generational-rejection-of-ai-why-are-university-students-booing-big-tech-at-graduation-ceremonies.html,Generational rejection of AI? Why are university students booing big tech at graduation ceremonies?
https://english.elpais.com/technology/2026-04-25/whats-the-best-way-to-talk-about-health-with-chatbots.html,What’s the best way to talk about health with chatbots?
https://english.elpais.com/lifestyle/2026-02-22/welcome-to-rbald-providing-an-online-safe-space-for-receding-hairlines-for-over-15-years.html,"Mexico’s Generation Z is growing up with precariousness, uncertainty and political distrust"
https://english.elpais.com/lifestyle/2026-02-21/from-january-euphoria-to-february-despair-why-most-of-our-new-years-resolutions-fail.html,From January euphoria to February despair: Why most of our New Year’s resolutions fail
https://english.elpais.com/international/2026-04-29/maradonas-lawyer-and-two-of-his-sisters-to-stand-trial-over-undue-profit-from-his-trademarks.html,Maradona’s lawyer and two of his sisters to stand trial over ‘undue profit’ from his trademarks
https://english.elpais.com/sports/2026-05-11/faustino-oro-the-second-youngest-chess-grandmaster-in-history.html,Faustino Oro: The second-youngest chess grandmaster in history
